"","year","hiv_diag_rate","aids_rate","plwha_rate","death_rate","crime_rate","unemployment_rate","borough_cat","female","white","black","american_indian","asian","hawaiian","hispanic","high_school","bachelor","poverty","labor_force","age_under_18","age_over_64","age_18_64"
"1",2011,4.5267228259457,4.10076326178175,1.85422364176656,3.70368231213739,NA,11.9,"Bronx","0.528","0.447","0.436","0.029","0.046","0.004","0.564","0.72","0.198","0.273","0.597",0.246,0.133,0.621
"2",2011,3.72100451151835,2.59512117219627,1.11905617439214,2.03217950253523,NA,9.6,"Brooklyn","0.526","0.498","0.338","0.009","0.127","0.001","0.189","0.816","0.365","0.189","0.635",0.227,0.144,0.629
"3",2011,5.20848769100678,3.1528375853552,1.93426585861541,2.547492768967,NA,7.8,"Manhattan","0.526","0.646","0.178","0.012","0.128","0.002","0.256","0.87","0.608","0.156","0.67",0.143,0.17,0.687
"4",2011,2.1921153778911,1.36727032772349,0.742001916868171,0.856225024902251,NA,8.1,"Queens","0.515","0.478","0.207","0.013","0.269","0.002","0.282","0.815","0.315","0.116","0.641",0.2,0.163,0.637
"5",2011,0.832035500181341,0.704030038614981,0.467859962025046,1.2800546156636,NA,9.2,"Staten Island","0.514","0.745","0.116","0.007","0.109","0.001","0.186","0.885","0.33","0.117","0.581",0.218,0.167,0.615
"6",2012,4.10076326178175,3.3932372060518,1.90865983013599,3.53763027864975,NA,12.4,"Bronx","0.528","0.447","0.436","0.029","0.046","0.004","0.564","0.72","0.198","0.273","0.597",0.246,0.133,0.621
"7",2012,3.22992773585659,2.28370663153272,1.13263065436978,2.02419451431309,NA,9.8,"Brooklyn","0.526","0.498","0.338","0.009","0.127","0.001","0.189","0.816","0.365","0.189","0.635",0.227,0.144,0.629
"8",2012,4.84906420627629,2.74296869925902,1.9465619251983,2.20698630974864,NA,8,"Manhattan","0.526","0.646","0.178","0.012","0.128","0.002","0.256","0.87","0.608","0.156","0.67",0.143,0.17,0.687
"9",2012,2.15176969608943,1.26864754998606,0.760650587567613,0.681393737094985,NA,8.3,"Queens","0.515","0.478","0.207","0.013","0.269","0.002","0.282","0.815","0.315","0.116","0.641",0.2,0.163,0.637
"10",2012,0.789367012992554,0.938706718153308,0.470633413692318,0.960040961747701,NA,9.5,"Staten Island","0.514","0.745","0.116","0.007","0.109","0.001","0.186","0.885","0.33","0.117","0.581",0.218,0.167,0.615
